DIVA;PlatformText;Municipality;MunicipalityID;Longitude;Latitude
60200384;Gellertplatz;Wien;49000001;48.1750112;16.3826387
60200385;Gemeindeberggasse;Wien;49000001;48.1812169;16.2645372
60200386;Opelwerk;Wien;49000001;48.2177115;16.5031297
60200387;Genochplatz;Wien;49000001;48.229322;16.4559323
60200388;Brünner Straße/Hanreitergasse;Wien;49000001;48.2841432;16.4130108
60200389;Gerhardusgasse;Wien;49000001;48.2316977;16.3662534
60200390;Geringergasse;Wien;49000001;48.1680018;16.4259645
60200391;Gernotgasse;Wien;49000001;48.2197405;16.5330436
60200392;Geroldgasse;Wien;49000001;48.2391231;16.2835366
60200393;Gersthof;Wien;49000001;48.2311591;16.3291171
60200394;Ehrenpreisgasse;Wien;49000001;48.2180228;16.4612772
60200395;Gersthofer Friedhof;Wien;49000001;48.2299743;16.3165407
60200396;Getreidemarkt;Wien;49000001;48.2018116;16.3629297
60200397;Geusaugasse;Wien;49000001;48.2041286;16.3945414
60200399;Zippererstraße;Wien;49000001;48.1794978;16.4111243
60200400;Heinrich-Drimmel-Platz;Wien;49000001;48.187949;16.3911188
60200401;Ghelengasse;Wien;49000001;48.1803005;16.2595066
60200403;Gladiolenweg;Wien;49000001;48.2375496;16.4790549
60200404;Glanzing;Wien;49000001;48.2431854;16.3217509
60200405;Glatzgasse;Wien;49000001;48.2333492;16.353174
60200406;Glawatschweg;Wien;49000001;48.1636759;16.2661901
60200407;Glockengasse;Wien;49000001;48.2177953;16.3818752
60200408;Gloriettegasse;Wien;49000001;48.1829959;16.2920616
60200409;Glossystraße;Wien;49000001;48.2123782;16.2360786
60200410;Gobergasse;Wien;49000001;48.1792163;16.2687952
60200411;Goethehof;Wien;49000001;48.2294896;16.4190385
60200412;Gogolgasse;Wien;49000001;48.182367;16.2766375
60200413;Goldhammergasse;Wien;49000001;48.1443067;16.322757
60200414;Gotthelfgasse;Wien;49000001;48.2272754;16.4726858
60200415;Graben/Petersplatz;Wien;49000001;48.2091575;16.3695682
60200416;Graf-Seilern-Gasse;Wien;49000001;48.1710872;16.3087613
60200417;Grasbergergasse;Wien;49000001;48.1861942;16.4004254
60200418;Grasgasse;Wien;49000001;48.2298905;16.282243
60200419;Gredlerstraße;Wien;49000001;48.2140064;16.3798719
60200420;Gregor-Mendel-Straße;Wien;49000001;48.234139;16.3377769
60200421;Gregorygasse;Wien;49000001;48.1572523;16.3054465
